Mês;Dia_semana;Dia_mês;Aluno_almoço;Bolsista_almoço;Pós_Doc_almoço;Aluno_Externo_almoço;Func_almoço;Visitante_almoço;Comunidade_almoço;Total_almoço;Aluno_jantar;Bolsista_jantar;Pós_Doc_jantar;Aluno_Externo_jantar;Func_jantar;Visitante_jantar;Comunidade_jantar;Total_jantar;Total_dia
6;seg;24;289;96;4;5;1;0;0;395;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;395
6;ter;25;321;109;2;5;1;0;0;438;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;438
6;qua;26;252;77;6;5;5;0;9;354;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;354
6;qui;27;268;107;5;4;1;0;0;385;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;385
6;sex;28;173;57;5;2;2;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN
6;sáb;29;NaN;NaN;NaN;NaN;NaN;0;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
6;dom;30;NaN;NaN;NaN;NaN;NaN;0;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
7;seg;1;87;41;6;9;4;1;0;148;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;148
7;ter;2;104;41;8;9;1;0;0;163;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;163
7;qua;3;92;35;11;10;7;1;0;156;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;156
7;qui;4;65;33;2;9;1;1;0;111;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;111
7;sex;5;60;25;3;8;2;1;0;99;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;99
7;sáb;6;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
7;dom;7;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
7;seg;8;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
7;ter;9;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
