Ano,Mês,Dia_semana,Dia_mês,Aluno,Bolsista,Pos_Doc,Aluno_Externo,Funcionario,Visitante,Comunidade,Total,refeicao,prato_principal_1,prato_principal_2,guarnição,sobremesa_1,sobremesa_2,Precipitacao_mm,Temp_max_C,Temp_min_C,Umid_rel_ar,Vento_velocidade_horaria (m/s),Vento_rajada_maxima (m/s),dia letivo
2023,4,qua,26,642.0,165.0,2.0,1.0,3.0,0.0,0.0,813.0,almoco,carne em cubos ao molho madeira,almôndega de pvt ao sugo,cenoura gratinada,gelatina de cereja,melão,3.8000000000000003,18.5,17.666666666666668,94.33333333333333,1.7,6.833333333333333,1
2023,4,qui,27,527.0,131.0,4.0,2.0,2.0,0.0,0.0,666.0,almoco,lombo assado ao molho roty,omelete de forno,couve ao alho,bananada,laranja,0.0,22.666666666666668,20.666666666666668,70.66666666666667,0.8333333333333334,2.766666666666667,1
2023,4,sex,28,404.0,109.0,3.0,0.0,0.0,0.0,0.0,516.0,almoco,filé de coxa assado,cassoulet vegetariano,polenta,rocambole de chocolate,abacaxi,0.0,24.166666666666668,21.433333333333334,67.0,0.8666666666666667,3.8666666666666667,1
2023,5,ter,2,566.0,121.0,2.0,1.0,2.0,0.0,0.0,692.0,almoco,filé de frango empanado,ovo frito,creme de milho,torrone,laranja,0.0,25.333333333333332,23.433333333333334,52.666666666666664,2.1333333333333333,5.933333333333334,1
2023,5,qua,3,564.0,101.0,3.0,0.0,2.0,0.0,0.0,670.0,almoco,estrogonofe de carne,estrogonofe de grão de bico,batata palha,sorvete de morango,banana,0.0,25.433333333333334,23.833333333333332,49.333333333333336,1.8333333333333333,4.966666666666666,1
2023,5,qui,4,583.0,132.0,2.0,1.0,0.0,0.0,0.0,718.0,almoco,lombo ao molho madeira,suflê de legumes,couve refogada,brigadeirão,abacaxi,0.0,26.766666666666666,25.566666666666666,46.333333333333336,2.033333333333333,5.566666666666666,1
2023,5,sex,5,449.0,92.0,3.0,1.0,1.0,0.0,0.0,546.0,almoco,filé de coxa assado,cassoulet vegetariano,polenta cremosa,goiabada,tangerina,0.0,27.433333333333334,26.266666666666666,44.333333333333336,1.3,5.233333333333333,1
2023,5,seg,8,578.0,137.0,3.0,2.0,2.0,0.0,0.0,722.0,almoco,carne moída,pvt com azeitonas,vagem ao alho,cocada branca,maçã,0.0,25.7,24.0,54.666666666666664,1.3333333333333333,4.8999999999999995,1
2023,5,ter,9,508.0,95.0,4.0,3.0,2.0,0.0,0.0,612.0,almoco,bife ao molho roty,omelete espinafre,cuscuz,gelatina de framboesa,banana,0.0,26.933333333333334,24.933333333333334,51.0,0.4000000000000001,3.1,1
2023,5,qua,10,589.0,120.0,3.0,3.0,2.0,0.0,0.0,717.0,almoco,frango assado,grãos com queijo,legumes refogados,manjar com calda de ameixa,melancia,0.0,25.600000000000005,24.599999999999998,59.333333333333336,0.9,3.766666666666667,1
2023,5,qui,11,433.0,91.0,1.0,1.0,3.0,0.0,0.0,529.0,almoco,lagarto ao molho cogumelo,bifinho de lentilha ao molho de cogumelo,nhoque ao sugo,iogurte,mamão,0.0,23.400000000000002,21.166666666666668,69.66666666666667,0.39999999999999997,3.1666666666666665,1
2023,5,sex,12,315.0,65.0,1.0,2.0,0.0,0.0,0.0,383.0,almoco,pernil ao molho ferrugem,grão de bico à indiana ,virado de abobrinha,bombom,abacaxi,0.0,21.7,19.433333333333334,60.0,0.7000000000000001,3.4,1
2023,5,seg,15,558.0,136.0,3.0,2.0,3.0,0.0,0.0,702.0,almoco,bife ao molho madeira,tomate recheado,mandioca temperada,sorvete de flocos,maçã,0.0,22.46666666666667,20.7,36.666666666666664,1.9666666666666668,5.933333333333334,1
2023,5,ter,16,474.0,115.0,5.0,39.0,3.0,0.0,0.0,636.0,almoco,peixe frito,quibe de brócolis e requeijão,batata doce com ervas,gelatina de cereja,melão,0.0,22.933333333333334,21.733333333333334,29.666666666666668,2.5,6.866666666666667,1
2023,5,qua,17,535.0,123.0,2.0,2.0,1.0,0.0,0.0,663.0,almoco,lombo ao molho de limão,cassoulet vegetariano,farofa rica,chocolate ao leite,abacaxi,0.0,21.2,19.333333333333332,48.666666666666664,2.6333333333333333,7.1000000000000005,1
2023,5,qui,18,506.0,114.0,2.0,1.0,2.0,0.0,0.0,625.0,almoco,carne em cubos ao molho roty,pvt alemão,ervilha à parmentier,pudim de morango com calda de groselha,banana,0.0,23.53333333333333,21.8,42.0,1.5999999999999999,4.933333333333334,1
