Ano,Mês,Dia_semana,Dia_mês,refeicao,prato_principal_1,prato_principal_2,guarnição,sobremesa_1,sobremesa_2,Aluno,Bolsista,Pos_Doc,Aluno_Externo,Comunidade,Visitantes,Funcionario,Total,Precipitacao_mm,Temp_max_C,Temp_min_C,Umid_rel_ar,Vento_velocidade_horaria (m/s),Vento_rajada_maxima (m/s),dia letivo
2023,1,ter,24,cafe da manha,,,,,,,,,,,,,48.0,0.0,19.5,18.75,95.0,0.15000000000000002,1.2,0
2023,1,ter,24,almoco,hambúrguer ao sugo,hambúrguer de lentilha ao sugo,macarrão com espinafre,manjar de coco,melancia,587.0,211.0,2.0,29.0,0.0,0.0,2.0,831.0,0.0,25.53333333333333,23.53333333333333,72.66666666666667,1.3999999999999997,4.966666666666666,0
2023,1,ter,24,jantar,frango assado,caneloni de ricota com espinafre,quiabo refogado,mini bolo de baunilha,mamão,423.0,204.0,0.0,16.0,0.0,0.0,0.0,643.0,0.0,28.099999999999998,26.599999999999998,62.666666666666664,0.5,5.166666666666667,0
2023,1,qua,25,cafe da manha,,,,,,,,,,,,,41.0,0.1,21.85,19.45,86.5,0.1,1.35,0
2023,1,qua,25,almoco,lombo assado ao molho roty,curry de legumes,farofa rica,maxi chocolate,melão,545.0,210.0,3.0,30.0,0.0,0.0,1.0,789.0,0.0,28.53333333333333,26.366666666666664,50.0,0.5,3.3666666666666667,0
2023,1,qua,25,jantar,strogonoff de carne,strogonoff de pvt,batata palha,sorvete de flocos,banana,461.0,218.0,1.0,16.0,0.0,0.0,1.0,697.0,0.0,28.766666666666666,27.599999999999998,45.666666666666664,2.1999999999999997,6.2,0
2023,1,qui,26,cafe da manha,,,,,,,,,,,,,42.0,0.0,22.450000000000003,21.35,70.5,3.95,8.600000000000001,0
2023,1,qui,26,almoco,panqueca de carne,panqueca de pvt,legumes sauté,iogurte,laranja,594.0,214.0,3.0,20.0,0.0,0.0,0.0,831.0,0.0,28.3,26.866666666666664,53.333333333333336,2.4,7.066666666666666,0
2023,1,qui,26,jantar,frango empanado,ovo frito,creme de milho,gelatina de framboesa,melancia,436.0,213.0,0.0,16.0,0.0,0.0,0.0,665.0,0.0,28.96666666666667,27.400000000000002,52.0,1.4000000000000001,4.433333333333334,0
2023,1,sex,27,cafe da manha,,,,,,,,,,,,,40.0,0.0,22.85,21.15,76.5,2.1,6.699999999999999,0
2023,1,sex,27,almoco,frango assado,omelete de espinafre,batata corada,brigadeirão,abacaxi,538.0,194.0,4.0,24.0,0.0,0.0,3.0,763.0,0.0,27.233333333333334,25.633333333333336,62.0,2.1333333333333333,6.7,0
2023,1,sex,27,jantar,bife grelhado ao molho de cebola,grãos gratinados,couve -  flor sauté,cocada branca,maçã,247.0,138.0,0.0,12.0,0.0,0.0,0.0,397.0,0.13333333333333333,27.566666666666663,25.066666666666666,66.33333333333333,1.3333333333333333,6.066666666666667,0
2023,1,sáb,28,almoco,cubos de pernil ao molho de limão,quibe de pvt,batata doce com ervas,curau,mamão,265.0,102.0,0.0,15.0,0.0,0.0,0.0,382.0,1.7999999999999998,21.0,19.900000000000002,93.33333333333333,1.0,5.566666666666666,0
2023,1,seg,30,cafe da manha,,,,,,,,,,,,,33.0,1.6,19.15,18.75,95.0,0.6,2.8499999999999996,0
2023,1,seg,30,almoco,carne em cubos ao molho pomodoro,ovo frito,purê de batatas,bombom,abacaxi,552.0,194.0,2.0,24.0,0.0,0.0,2.0,774.0,0.06666666666666667,25.066666666666663,22.099999999999998,78.0,2.3666666666666667,5.733333333333333,0
2023,1,seg,30,jantar,lombo ao molho de limão,pvt gratinado,farofa rica,iogurte,laranja,359.0,168.0,0.0,8.0,0.0,0.0,0.0,535.0,8.799999999999999,23.066666666666666,20.599999999999998,87.66666666666667,0.5666666666666667,4.233333333333333,0
2023,1,ter,31,cafe da manha,,,,,,,,,,,,,37.0,0.0,19.65,18.6,95.5,0.6,2.6500000000000004,0
2023,1,ter,31,almoco,filé de frango à pizzaiolo,bife de grão de bico à pizzaiolo,brócolis à provençal,doce de abóbora com coco,banana,614.0,220.0,3.0,26.0,0.0,0.0,1.0,864.0,0.0,26.633333333333336,25.0,62.666666666666664,2.1,6.3999999999999995,0
2023,1,ter,31,jantar,bife ao molho roty,pvt alemão,legumes sautê,bananada,melancia,422.0,193.0,1.0,11.0,0.0,0.0,0.0,627.0,0.0,27.433333333333334,26.066666666666666,65.66666666666667,0.43333333333333335,3.8666666666666667,0
2023,2,qua,1,cafe da manha,,,,,,,,,,,,,36.0,0.1,20.45,19.35,92.0,0.15,3.6,0
2023,2,qua,1,almoco,estrogonofe de carne,bobó de abóbora e palmito,vagem ao alho,picolé de uva,maçã,622.0,235.0,2.0,31.0,0.0,0.0,1.0,891.0,0.0,26.599999999999998,25.099999999999998,65.0,1.3333333333333333,3.9333333333333336,0
2023,2,qua,1,jantar,peixe frito com limão autoserviço,ovo cozido,batata corada,maria mole com coco,abacaxi,429.0,195.0,1.0,9.0,0.0,0.0,0.0,634.0,0.19999999999999998,23.433333333333334,22.166666666666668,83.66666666666667,0.16666666666666666,1.5333333333333332,0
2023,2,qui,2,cafe da manha,,,,,,,,,,,,,39.0,0.0,21.049999999999997,20.45,90.5,0.8,2.15,0
2023,2,qui,2,almoco,bife ao molho de cogumelos,almôndega de aveia ao molho de cogumelo,nhoque ao sugo,maxi goiabinha,laranja,590.0,222.0,2.0,21.0,0.0,0.0,1.0,836.0,0.39999999999999997,26.599999999999998,23.96666666666667,76.66666666666667,2.3666666666666667,6.533333333333334,0
2023,2,qui,2,jantar,filé de frango ao molho rosê,grãos com queijo,cenoura à salsa,mosaico de gelatina,banana,413.0,175.0,0.0,8.0,0.0,0.0,0.0,596.0,0.06666666666666667,22.53333333333333,21.666666666666668,89.0,1.2,6.733333333333333,0
2023,2,sex,3,cafe da manha,,,,,,,,,,,,,35.0,0.1,20.1,19.6,94.5,0.8,3.5999999999999996,0
2023,2,sex,3,almoco,pernil ao molho de limão,curry de legumes,virado de couve,brigadeirão,melancia,548.0,211.0,1.0,24.0,0.0,0.0,1.0,785.0,0.0,26.366666666666664,24.333333333333332,70.66666666666667,1.8333333333333333,5.7,0
2023,2,sex,3,jantar,quibe de assadeira com limão autoserviço,quibe de pvt,couve flor ao vinagrete,romeu,julieta e maçã,344.0,177.0,0.0,9.0,0.0,0.0,0.0,530.0,0.0,27.733333333333334,25.400000000000002,68.0,2.2,7.3,0
2023,2,sáb,4,almoco,bife ao molho de azeitonas,bife de pvt ao molho de azeitonas,chuchu gratinado,pudim de morango com calda de groselha,melão,257.0,164.0,0.0,12.0,0.0,0.0,0.0,433.0,0.0,24.46666666666667,22.900000000000002,76.33333333333333,3.0,7.333333333333333,0
2023,2,seg,6,cafe da manha,,,,,,,,,,,,,38.0,0.0,21.05,19.85,90.5,0.0,0.0,0
2023,2,seg,6,almoco,bife ao molho madeira,tomate recheado,mandioca temperada,iogurte,maçã,647.0,234.0,1.0,20.0,0.0,0.0,1.0,903.0,0.0,27.266666666666666,25.46666666666667,65.33333333333333,2.033333333333333,5.666666666666667,0
