Ano,Mês,Dia_semana,Dia_mês,total,prato_principal_1,prato_principal_2,guarnição,sobremesa_1,letivo,feriado,ferias,vespera_nao_letivo,pos_nao_letivo,vespera_feriado,pos_feriado,dias_desde_inicio_ferias,dias_desde_ultimas_ferias,dias_ate_ferias,dias_ate_feriado
2023,8,qui,24,631.0,Lombo,Omelete,Virado,Brigadeirão,1,0,0,0,0,0,0,0,17,119,11
2023,8,sex,25,356.0,Hamburguer,Hamburguer de grão de bico,Macarrão,Pudim de maria mole,1,0,0,0,0,0,0,0,18,118,10
2023,8,sáb,26,0.0,Carne em cubos,Bife de PVT,Purês,Torrone,1,0,0,1,0,0,0,0,19,117,9
2023,8,seg,28,551.0,Linguiça,Curry de legumes,Farofa,Barra de cereais,1,0,0,0,1,0,0,0,21,115,7
2023,8,ter,29,752.0,Frango assado,Grão de bico,Polenta,Sorvete,1,0,0,0,0,0,0,0,22,114,6
2023,8,qua,30,537.0,Carne moída,Cassoulet,Batata,Pudim de pão,1,0,0,0,0,0,0,0,23,113,5
2023,8,qui,31,541.0,Bife,Lasanha de queijo,Couve-flor,Chocolate,1,0,0,0,0,0,0,0,24,112,4
2023,9,sex,1,307.0,Pernil,Almôndega de feijão,Cenoura,Bolinho,1,0,0,0,0,0,0,0,25,111,3
2023,9,sáb,2,0.0,Isca de carne,Ovo frito,Batata doce,Mosaico,1,0,0,1,0,0,0,0,26,110,2
2023,9,seg,4,118.0,Bife,Tomate recheado,Mandioca,Goiabada,0,1,0,1,1,1,0,0,28,108,0
2023,9,ter,5,122.0,Lasanha bolonhesa,Lasanha de PVT,Vagem,Barra de cereais,0,1,0,1,1,1,1,0,29,107,0
2023,9,qua,6,96.0,Frango empanado,Estrogonofe de grão de bico,Legumes,Pudim de pão,0,1,0,1,1,1,1,0,30,106,0
2023,9,seg,11,545.0,Frango empanado,Bife de grão de bico,Creme de milho,Doce de banana,1,0,0,0,1,0,0,0,35,101,31
2023,9,ter,12,659.0,Carne louca,Suflê de legumes,Batata,Arroz doce,1,0,0,0,0,0,0,0,36,100,30
2023,9,qua,13,639.0,Isca de carne,PVT,Macarrão,Barra de cereais,1,0,0,0,0,0,0,0,37,99,29
2023,9,qui,14,624.0,Pernil,Ovo frito,Couve,Manjar,1,0,0,0,0,0,0,0,38,98,28
2023,9,sex,15,254.0,Filé de peixe,Grãos com queijo,Brócolis,Sorvete,1,0,0,0,0,0,0,0,39,97,27
2023,9,sáb,16,0.0,Lombo,Moussaka,Farofa,Espumone,1,0,0,1,0,0,0,0,40,96,26
2023,9,seg,18,520.0,Linguiça,PVT,Purês,Iogurte,1,0,0,0,1,0,0,0,42,94,24
2023,9,ter,19,776.0,Carne de panela,Almôndega de feijão,Macarrão,Gelatina,1,0,0,0,0,0,0,0,43,93,23
2023,9,qua,20,648.0,Frango assado,Ovo frito,Polenta,Torrone,1,0,0,0,0,0,0,0,44,92,22
2023,9,qui,21,618.0,Estrogonofe de carne,Quibe de brócolis,Batata palha,Curau,1,0,0,0,0,0,0,0,45,91,21
2023,9,sex,22,261.0,Filé de frango,Grão de bico,Legumes,Flan de baunilha,1,0,0,0,0,0,0,0,46,90,20
2023,9,sáb,23,0.0,Bife,Almôndega de aveia,Cuscuz,Bombom,1,0,0,1,0,0,0,0,47,89,19
2023,9,seg,25,430.0,Carne moída,PVT,Ervilha parmentier,Goiabada,1,0,0,0,1,0,0,0,49,87,17
2023,9,ter,26,621.0,Bife,Moussaka,Cenoura,Torrone,1,0,0,0,0,0,0,0,50,86,16
