Ano,Mês,Dia_semana,Dia_mês,refeicao,total,prato_principal_1,prato_principal_2,guarnição,sobremesa_1,Precipitacao_mm,Temp_max_C,Temp_min_C,Umid_rel_ar,Vento_velocidade_ms,Vento_rajada_maxima_ms,letivo,feriado,ferias,vespera_nao_letivo,pos_nao_letivo,vespera_feriado,pos_feriado,dias_desde_inicio_ferias,dias_desde_ultimas_ferias,dias_ate_ferias,dias_ate_feriado
2023,2,qui,9,almoco,921.0,Carne em cubos,Quibe de brócolis,Ervilha parmentier,Manjar,0.0,27.833333333333332,26.133333333333336,58.0,1.2666666666666666,5.433333333333334,0,0,1,1,1,0,0,39,0,0,53
2023,2,qui,9,jantar,655.0,Frango assado,Curry de legumes,Chuchu,Bolinho,0.0,29.599999999999998,28.066666666666666,54.666666666666664,0.2333333333333333,3.6666666666666665,0,0,1,1,1,0,0,39,0,0,53
2023,2,sex,10,almoco,846.0,Bife,Omelete,Legumes,Goiabada,0.0,26.633333333333336,24.5,63.333333333333336,1.4666666666666668,4.866666666666667,0,0,1,1,1,0,0,40,0,0,52
2023,2,sex,10,jantar,595.0,Hamburguer,Hamburguer de lentilha,Macarrão,Pudim de maria mole,0.0,27.366666666666664,25.2,67.0,0.5333333333333333,4.5,0,0,1,1,1,0,0,40,0,0,52
2023,2,sáb,11,almoco,534.0,Estrogonofe de frango,Estrogonofe de PVT,Batata palha,Cocada,0.4000000000000001,22.0,20.766666666666666,88.0,1.0666666666666667,4.3,0,0,1,1,1,0,0,41,0,0,51
2023,2,seg,13,almoco,946.0,Linguiça,Grão de bico,Farofa,Bolinho,0.0,26.633333333333336,24.733333333333334,66.0,2.066666666666667,4.8,0,0,1,1,1,0,0,43,0,0,49
2023,2,seg,13,jantar,804.0,Bife,Tomate recheado,Batata,Torrone,0.0,28.0,25.866666666666664,57.0,1.0666666666666667,5.266666666666667,0,0,1,1,1,0,0,43,0,0,49
2023,2,ter,14,almoco,1082.0,Lasanha bolonhesa,Lasanha de PVT,Brócolis,Mousse de chocolate,0.0,28.066666666666666,26.099999999999998,62.666666666666664,1.9666666666666668,6.1000000000000005,0,0,1,1,1,0,0,44,0,0,48
2023,2,ter,14,jantar,776.0,Filé de frango,PVT,Purês,Doce de leite,0.0,28.03333333333333,26.53333333333333,59.333333333333336,0.7333333333333334,5.800000000000001,0,0,1,1,1,0,0,44,0,0,48
2023,2,qua,15,almoco,1012.0,Pernil,PVT,Couve,Sorvete,0.0,29.5,27.833333333333332,56.666666666666664,2.1666666666666665,7.366666666666667,0,0,1,1,1,0,0,45,0,0,47
2023,2,qua,15,jantar,648.0,Carne louca,Bife de lentilha,Polenta,Bananada,2.4,25.333333333333332,22.400000000000002,83.33333333333333,1.0,8.1,0,0,1,1,1,0,0,45,0,0,47
2023,2,qui,16,almoco,1000.0,Bife,Rondele,Repolho,Sagu,0.0,25.400000000000002,23.933333333333334,74.66666666666667,2.033333333333333,7.1000000000000005,0,0,1,1,1,0,0,46,0,0,46
2023,2,qui,16,jantar,628.0,Frango assado,PVT,Macarrão,Barra de cereais,2.066666666666667,26.366666666666664,23.666666666666668,77.33333333333333,0.9666666666666667,6.533333333333334,0,0,1,1,1,0,0,46,0,0,46
2023,2,sex,17,almoco,805.0,Frango xadrez,Almôndega de feijão,Legumes,Gelatina,0.0,27.03333333333333,25.46666666666667,65.0,3.8000000000000003,9.466666666666667,0,0,1,1,1,0,0,47,0,0,45
2023,2,sex,17,jantar,509.0,Lombo,Omelete,Ervilha parmentier,Chocolate,0.06666666666666667,25.900000000000002,23.133333333333336,78.66666666666667,0.0,5.466666666666666,0,0,1,1,1,0,0,47,0,0,45
2023,2,qui,23,almoco,853.0,Hamburguer,Hamburguer de PVT,Purês,Chocolate,0.0,27.3,24.766666666666666,66.33333333333333,1.7333333333333334,5.8999999999999995,0,0,1,1,1,0,0,53,0,0,39
2023,2,qui,23,jantar,773.0,Frango empanado,Almôndega de lentilha,Cenoura,Sorvete,0.39999999999999997,25.066666666666666,23.099999999999998,79.66666666666667,1.1333333333333335,5.133333333333334,0,0,1,1,1,0,0,53,0,0,39
