Ano,Mês,Dia_mês,Dia_semana,letivo,feriado,ferias,vespera_nao_letivo,pos_nao_letivo,vespera_feriado,pos_feriado,dias_desde_inicio_ferias,dias_desde_ultimas_ferias,dias_ate_ferias,dias_ate_feriado
2023,9,7,qui,0,1,0,1,1,1,1,0,31,105,0
2023,9,8,sex,0,1,0,1,1,1,1,0,32,104,0
2023,9,9,sáb,0,1,0,1,1,0,1,0,33,103,0
2023,9,10,dom,0,0,0,0,1,0,1,0,34,102,32
2023,9,11,seg,1,0,0,0,1,0,0,0,35,101,31
2023,9,12,ter,1,0,0,0,0,0,0,0,36,100,30
2023,9,13,qua,1,0,0,0,0,0,0,0,37,99,29
2023,9,14,qui,1,0,0,0,0,0,0,0,38,98,28
2023,9,15,sex,1,0,0,0,0,0,0,0,39,97,27
2023,9,16,sáb,1,0,0,1,0,0,0,0,40,96,26
2023,9,17,dom,0,0,0,0,0,0,0,0,41,95,25
2023,9,18,seg,1,0,0,0,1,0,0,0,42,94,24
2023,9,19,ter,1,0,0,0,0,0,0,0,43,93,23
2023,9,20,qua,1,0,0,0,0,0,0,0,44,92,22
2023,9,21,qui,1,0,0,0,0,0,0,0,45,91,21
2023,9,22,sex,1,0,0,0,0,0,0,0,46,90,20
2023,9,23,sáb,1,0,0,1,0,0,0,0,47,89,19
2023,9,24,dom,0,0,0,0,0,0,0,0,48,88,18
2023,9,25,seg,1,0,0,0,1,0,0,0,49,87,17
2023,9,26,ter,1,0,0,0,0,0,0,0,50,86,16
2023,9,27,qua,1,0,0,0,0,0,0,0,51,85,15
2023,9,28,qui,1,0,0,0,0,0,0,0,52,84,14
2023,9,29,sex,1,0,0,0,0,0,0,0,53,83,13
2023,9,30,sáb,1,0,0,1,0,0,0,0,54,82,12
2023,10,1,dom,0,0,0,0,0,0,0,0,55,81,11
2023,10,2,seg,1,0,0,0,1,0,0,0,56,80,10
2023,10,3,ter,1,0,0,0,0,0,0,0,57,79,9
2023,10,4,qua,1,0,0,0,0,0,0,0,58,78,8
2023,10,5,qui,1,0,0,0,0,0,0,0,59,77,7
